Tweet_id,Class,Sentence
1359,sadness," #32: @Belum ed ""RT @NialZulfqr: sad short strory https://t.co/lMPq5kBaJB"""
1360,sadness," #33: @shin ye! eun. ed ""@yebugiri ASHAHSHAHS ARE YOU HAPPY TO SEE THAT CANDY COUPLE HAS A HAPPY ENDING? 🤪 But still, Jisoo unnie was not here around us so I’m still sad. 😔"""
1361,sadness," #34: @Ken San Juan ed ""Idek if these tears are for my lola or those exams but one thing I know for sure is that this is a sad sad day 😔"""
1362,sadness," #35: @Mermaid Trainer ed ""RT @R08Cat: 1/ A sad cat saying goodbye to its (temporary) ship. A big thank you to @HMSDefender’s Commanding Officer for the honour of a v…"""
1363,sadness," #36: @programming language ed ""The elite 28-person Goldman Sachs team that speaks 14 languages. Bank exec's sad admission - eFinancialCareers https://t.co/7a5JDUMKAk"""
1364,sadness," #37: @Christian ed ""If I had this dog no 🧢 I'd never be sad ever again https://t.co/lKOi7z1Hog"""
1365,sadness," #38: @👉🏼 Soy yo...! 🙋🏼‍♂️ ed ""@OntourOssi @Rote_Teufel_RT ...sad......true..."""
1366,sadness," #39: @~FBG$~ ed ""Does anyone stay up till 2am thinking about the state of the earth and get sad cause they don’t know how to fix it?"""
1367,sadness," #40: @arlene ed ""RT @jjkmoonchiId: nooo jimin started crying:( and jungkook going “don’t cry jimin” im So sad   https://t.co/QRNdO709OX"""
1368,sadness," #41: @F.M. Mitchell ed ""@UnbalancedMemes @TheMichaelRock Sad."""
1369,sadness," #42: @Ale Hurtado ed ""La hora sad ha llegado"""
1370,sadness," #43: @^~^ ed ""RT @jjkmoonchiId: nooo jimin started crying:( and jungkook going “don’t cry jimin” im So sad   https://t.co/QRNdO709OX"""
1371,sadness," #44: @𝕄𝕚𝕟𝕒 𝕨𝕚𝕥𝕙 𝕃𝕦𝕧 💋 ed ""RT @parkjiminpics: IM SO SAD JIMIN https://t.co/i67fKGxRjZ"""
1372,sadness," #45: @emi ed ""RT @MuhamadSyfiq: Don't reply text when you're angry. Don't make a decision when you're sad or you will regret it. Don't let you're ego con…"""
1373,sadness," #46: @𝐜𝐞𝐥𝐢𝐧𝐚 🌸 // suffering finals ed ""Note: Jimin is a beautiful human being and it makes me sad that I can’t go. I mean look at him https://t.co/8EhYdnij5l"""
1374,sadness," #47: @♥𝓀𝓇𝒾𝓈𝓉𝒶♥|SAW BTS 5/5 ed ""jimin cried and it made me sad and then he also saying “i love you” more times a human blinks a day"""
1375,sadness," #48: @Katherine Runciman ed ""@MikeGreenTTLanc @tommytickover @shipman_stuart @Spig72 @guy_leddy @thewizardsappre @bellracing19 @mammylisa1 @philatcroft They always are honey and we are right at the very end of the day so I think, once again, it will be highlights programme and not on the live programme which is really sad 😔"""
1376,sadness," #49: @TwilightSparkle ed ""RT @nevermindksj: IM BIG SAD 😭 BTSatRoseBowl #BTSinLA #SpeakYourselfTour #BTSatRoseBowl @BTS_twt https://t.co/P5xQQblZE3"""
1377,sadness," #50: @aween ed ""@unic0rnaz_ why are u sad my love"""
1378,sadness," #51: @sekar 💛 ed ""RT @nevermindksj: IM BIG SAD 😭 BTSatRoseBowl #BTSinLA #SpeakYourselfTour #BTSatRoseBowl @BTS_twt https://t.co/P5xQQblZE3"""
1379,sadness," #52: @Isabella ed ""Do y’all ever feel empty? Like you know what you’re feeling (happy, sad, etc.) but don’t actually feel anything. It’s like you’re there but just going through the motions...."""
1380,sadness," #53: @Clifton B ed ""Just got something that makes me pretty sad we've got six more days until the next Screenshot Saturday."""
1381,sadness," #54: @liyah ed ""RT @hoyaspop: I’m so sad.. https://t.co/uX88n9eYs4"""
1382,sadness," #55: @gggg🐣🐰 ed ""RT @parkjiminpics: IM SO SAD JIMIN https://t.co/i67fKGxRjZ"""
1383,sadness," #56: @[계정 정지된]후냐/현✨ ed ""@ScjhToday 나 왕소심이라서 왕쪼끔 뺐엉.. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"""
1384,sadness," #57: @💜💙 ed ""Koo Junhoe being so cute for wattttt 😭😭😭😭😭 I’m sad https://t.co/ixePqPMx3M"""
1385,sadness," #58: @Lily. ed ""@Your_Jongup Me ish sad"""
1386,sadness," #59: @Karenina ed ""RT @NialZulfqr: sad short strory https://t.co/lMPq5kBaJB"""
1387,sadness," #60: @Park Jimin Lover ❤️ ed ""RT @parkjiminpics: IM SO SAD JIMIN https://t.co/i67fKGxRjZ"""
1388,sadness," #61: @Alessandra Mooni ed ""RT @WalshFreedom: I think it's pathetic. That we have someone in the White House who is so starved for attention that he has to weigh in on…"""
1389,sadness," #62: @Vito® Montei®o ed ""RT @ligaptdadepre: COMUNICADO BELENENSES SAD https://t.co/4kscO4keQF"""
1390,sadness," #63: @Ron Kirwan ed ""RT @CPFCbants: Was @eagleabants but I was robbed of my account by a sad excuse of a human. I will miss you but we’re back you know what I…"""
1391,sadness," #64: @diewent ed ""RT @LVPibai: Acabo de perder en el directo Retuit para participar en el sorteo de una Nintendo Switch. Ganador al final de mes cuando c…"""
1392,sadness," #65: @Aimee Aya-ay ed ""Kapait sad aning ka withdrawhan ta pero dili ta ka withdraw oy. Charot kalibangaon rko guys, ago lang gi pamaagi sa hilas nga term hahahahahahaha bahalag dili ka libang basta hilas"""
1393,sadness," #66: @[bernardo] ed ""RT @liIsad: sad and horny as fuck"""
1394,sadness," #67: @Mike Calisto ed ""RT @TheOfficerTatum: So sad what happened to 8 year old Jaylon McKenzie. (Murdered) Sad that many show him love only because of his athlet…"""
1395,sadness," #68: @bebe🖤 ed ""@ItsSusana231 ngano naman sad na"""
1396,sadness," #69: @Delaney ed ""RT @Snailmailband: i would rather die an incredibly painful death than watch the little cgi dumbo be sad"""
1397,sadness," #70: @Chanel O´Grady ed ""@EmoHaven @PaulTergeist8 @PowPandaPowPow @Onision Awww it’s so cute when soy boy fangirls act tough. Greg is a textbook malignant narcissist who doesn’t care about anyone other then himself. It’s sad to see young girls follow his lead"""
1398,sadness," #71: @j ed ""that little guy helped me with anxiety and stopped me from being sad and angry all the time!!!!!!! And guess what, he ain’t here and sad bitter angry me is back!!!!"""
1399,sadness," #1: @コウガサブロウbot ed ""Be it humans or demons, I have no marcy on those bargin away their pride and sorrow!"""
1400,sadness," #2: @MOLLYNEXTDOOR ed ""What would you see If you took a dive in my mind Would you feel it The love The sadness The pain The sorrow think you’ll be surprised To see your self from my eyes"""
1401,sadness," #3: @🙊 ed ""Lord Jesus Christ Redeemer and Saviour forgive my sins just as You forgave Peters denial and those who crucified You Count not my transgression but rather my tears of repentance Remember not my iniquities but more especially my sorrow for the offenses I have committed against You"""
1402,sadness," #4: @ToMaKi ed ""RT @FrappMocha: #Castlevania Aria of Sorrow for the #GameboyAdvanceSP has been whipping the army of the dead for 16 years!! 🎉🎈🍰🎂Of the 3…"""
1403,sadness," #5: @ToMaKi ed ""@FrappMocha Aria of Sorrow was amazing. It is my favourite Castlevania of all time, the system and gameplay made it lovely to playthrough. The music stood out in a fantastic way. The ambiance of it to me is something I still seek. Dawn of Sorrow was just as impressive or better. I need more. https://t.co/6OPTNePqvn"""
1404,sadness," #6: @Beth Mosher ed ""@prageru @PeligrosoCarlos Sadly and horribly, yes.😔😔😔 CNN, MSNBC and all the rest of the MSM just revealed themselves as the disgusting, partisan empty shells that they are. No hearts, no brains, no souls.😢😢😢 Yet there are still people who believe them-not dad STILL  takes Madcow as gospel. Sorrow😔"""
1405,sadness," #7: @Waltar ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1406,sadness," #8: @Jackie in 🌵AZ🌵 ed ""RT @UndisScot: The superbly located Castle Campbell, built on a spur between the chasm of the Burn of Care on one side and that of the Burn…"""
1407,sadness," #9: @𝘤𝘢𝘤𝘢 ed ""RT @pearldallass: Well I'd rather spend my entire life loving myself and making so much money to live a luxury life! If marry a guy would'v…"""
1408,sadness," #10: @Aggie Zulu ed ""RT @teresa_rose3: Praise Jesus. My heart has been heavy for the past couple of days. Sorrow over my own sin. Grief over all the losses from…"""
1409,sadness," #11: @ゆりり@闇の騎士お熱！ ed ""@R18_ げんじさんとしどさん、やるときに基本的にごむ使わない気がすると言うか使い方知らないだろうなと個人的に勝手に妄想してたけど・・・強いて言うならげんじさんなら使いそうかな・・・←"""
1410,sadness," #12: @Raubmaus&Pfotenprinz ed ""RT @MicroSFF: There is a bird in the forest, small and drab. She has no voice to sing with, so watches in silence.Those in pain seek her o…"""
1411,sadness," #13: @みつは@ドリル ed ""@imitationstera @molinkey zemeth・「VALENTINE LIBIDO」GYZE・「DESIRE」Nozomu Wakai's DESTINIA・「End My Sorrow」Kelly SIMONZ・「FUTURE DESTINATION」日本ならこの辺も好きかな"""
1412,sadness," #14: @Michelle 🌙 ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1413,sadness," #15: @⏳ TuberViejuner ⌛ ed ""RT @superjarm: Mejor juego aparecido por primera vez un 6 de MAYO (según todo el mundo):Nombre: Castlevania: Aria of Sorrowistema: Game…"""
1414,sadness," #16: @asobius 歌詞bot ed ""He would not lose the light in his eyes at such time. She would embrace your heart with joy,sorrow and all. A courage swells up.【made of my friends】"""
1415,sadness," #17: @jdynnchlgn🌸 ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1416,sadness," #18: @정석 ed ""형?"""
1417,sadness," #19: @Sorrow Ignore ed ""... ...네. 그럼요."""
1418,sadness," #20: @Mixes 'n' Tapes ed ""It's the one you've been waiting for, Sensitive Boi, layin' down some bars on his new track, Strip Club Sorrow. Listen to it now on SoundCloud."""
1419,sadness," #21: @Ashdeep💕Samaina ed ""RT @diptis19: These staircase has special connection with #Samaina..It has witnessed their fights, sorrow, happiness, romance....It wil…"""
1420,sadness," #22: @MV ed ""RT @the_nationalbot: Sorrow found me when I was youngSorrow waited, sorrow won"""
1421,sadness," #23: @鮎 さ ん 。@ 元 気 元 気 ed ""RT @SGX_info: 【活動再開】6/5(水) 【夜間飛行】@赤坂TENJI OPEN17:30/START1…"""
1422,sadness," #24: @Indu Khatri ed ""RT @AvdheshanandG: Thoughts of fear, doubts, defeat, sorrow etc can become an obstacle to spiritual progress. Overcome such thoughts with c…"""
1423,sadness," #26: @Samantha Michelle♚ ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1424,sadness," #27: @Ven. Yushi Shimada ed ""Sunday Buddhism: In Buddhism it's taught that most of what happens is result of our previous actions https://t.co/jxjK4XQOpO ‘Five Protections Against Sorrow’. https://t.co/a0h3Kp53Lc by Buddhism Now (Buddhism_Now)"""
1425,sadness," #28: @Of David ed ""RT @kaimollel: Bible reference ;“For his anger lasts only a brief moment, and his good favor restores one’s life. One may experience sorr…"""
1426,sadness," #29: @Hilda Cameron ed ""RT @samsonlowenz: The deeper that sorrow carves into your being, the more joy you can contain."""
1427,sadness," #30: @PreCure screenshots ed ""Suite PreCure♪ ep.20 @ 21:48.28""Now the world will fall into sorrow!""#PreCure https://t.co/U1mZBAn4S4"""
1428,sadness," #31: @Ven. Yushi Shimada ed ""The wise harm no one. They are masters of their bodies and they go to the boundless country -- beyond sorrow. (_BuddhaQuotes)"""
1429,sadness," #32: @Ven. Yushi Shimada ed ""Everything arises and passes away. When you see this, you are above sorrow. This is the shining way. (_BuddhaQuotes)"""
1430,sadness," #33: @Ven. Yushi Shimada ed ""Believe, meditate and see. Be harmless, be blameless. Awake to the Dharma and from all sorrow free yourself. (_BuddhaQuotes)"""
1431,sadness," #34: @💔 ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1432,sadness," #35: @Kai ed ""Bible reference ;“For his anger lasts only a brief moment, and his good favor restores one’s life. One may experience sorrow during the night, but joy arrives in the morning.”Psalms 30:5 NET"""
1433,sadness," #36: @@Chantel_Oli ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1434,sadness," #37: @さきてゃん@下手の民 ed ""@sorrow_lynch412 病んでないよｗｗｗまさかの？？？？ｗｗｗ"""
1435,sadness," #38: @♥︎|♥︎ mi casa, imma feel rich, mi casa ♥︎|♥︎ ed ""RT @rated_namjoon: Guys Namjoon was on the verge of tears during his ment and I couldn’t take it anymore my heart is in complete sorrow I d…"""
1436,sadness," #39: @The Sage (Omo Ìyanu) ed ""RT @ChNnadozie: Donald Trump is a dishonest president but under him the US economy is thriving; unemployment rate is now 3.6℅, the lowest i…"""
1437,sadness," #40: @NARSINGH PRAJAPAT ed ""@MUMBlr1 @AshramBlr @AshramEstore @YssHeadOffice @AshramGzb @AsaramBapuJi @AshramSgr @AshramKolkata @AshramHaridwar @SanskritiJagran @MangalmayDGTL @AshramBmr @Ruchibajaj4 @manishaParaswa2 @Vyakhyaa @GopiAum @harne_r @MereHari @preethamgupta @Niti990 @Bhavu2010 #WorthReadingBook_निश्चिन्त_जीवन bcoz it contains great tips to live life sorrow free !!"""
1438,sadness," #41: @哀しみの王 ed ""うあああああああッ!!"""
1439,sadness," #42: @oyaz@5.6ビバラ ed ""絶対スカパラでEndless Sorrowと2nd youthやるやんやばいやん"""
1440,sadness," #43: @🌀 ed ""RT @basma_hijazy: Within the unique Palestinian sorrow, tremendously unique creativity is germinated! Gazans always see the Light in the mi…"""
1441,sadness," #44: @deborah cristovao ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1442,sadness," #45: @Cynn Berber ed ""RT @HeatherLLove: When I get to heaven, I’m tackling and hugging Jesus & God. (not even sure if that’s possible with God but it’s an idea.)…"""
1443,sadness," #46: @IIK ed ""Peace: A Calm and cool person Has a face like a treasure And pleasant as morning light Is always filled with pleasure Don’t fret, don’t cry Don’t let life go dry Anger will bring nothing but sorrow But peace my little girl or boy Will surely bring you… https://t.co/PeGevz9TPc https://t.co/ZGvr9BZBMK"""
1444,sadness," #47: @Animesh Sharma ed ""RT @INCJharkhand: मैं जनता से झूठा वादा नहीं करता, सुख-दुख में उपलब्ध रहता हू़ं : @SubodhKantSahai https://t.co/LEtAKye8tI"""
1445,sadness," #48: @憂いのハムレット ed ""戦うべきか戦わぬべきか、それが問題だ"""
1446,sadness," #49: @🌞 ed ""RT @pearldallass: Well I'd rather spend my entire life loving myself and making so much money to live a luxury life! If marry a guy would'v…"""
1447,sadness," #50: @Dark Fortress Radio ed ""Dark Fortress Radio: Now Playing Death - Scavenger Of Human SorrowTuneIn Player @ https://t.co/RHuppvIO9u"""
1448,sadness," #51: @Hi, I'm Shire ed ""@Sorrow_TV Steal another man's teeth and put it on yous"""
1449,sadness," #52: @Brian Rope ed ""@BehrouzBoochani @ChristinaCoomb6 Thinking of you all at this time of sorrow."""
1450,sadness," #53: @🐹sejunnoona ed ""ตอน time of sorrow วิคตันเคยไปถึงที่ 3 m countdown เรยอะ แร้วตอนนั้นค่ายโปรโมททุกช่องทางมากๆๆๆ เพลงก็ดี ท่าสวย ชุดสวยทุกอย่างดีไปหมด สรุปต่อกระแสไม่ได้ ดองยาว 😓"""
1451,sadness," #54: @[+=::]funiboy[+=::] ed ""RT @superjarm: Mejor juego aparecido por primera vez un 6 de MAYO (según todo el mundo):Nombre: Castlevania: Aria of SorrowSistema: Game…"""
1452,sadness," #55: @R RAMAN ed ""RT @VartikaOM: @RRAMAN3 @AsaramBapuJi @Ruchibajaj4 @SatvikHindu_ @AnitaHarwani2 @HeenaKhushrang1 @sanjeev1dubey @mokshiom @MereHari @Makwan…"""
1453,sadness," #56: @JARM ed ""Mejor juego aparecido por primera vez un 6 de MAYO (según todo el mundo):Nombre: Castlevania: Aria of SorrowSistema: Game Boy AdvanceAño: 2003Región: EE. UU.Lanzamiento en España: 09/05/2003Otros: Day of Defeat, Fur Fun, Project CARS https://t.co/9kczFGccVV"""
1454,sadness," #57: @Darsch ed ""Programma della settimana: - giovedì 9 ore 21.00/21.30: Zero Escape- domenica 12 ore 21.00/21.30: Castlevania - Dawn of Sorrow [retrogaming]Lun.-gio. possibili live serali annunciate con un po' di anticipo. #DarschTV https://t.co/Hyqvh2WiPu"""
1455,sadness," #58: @Jakub Krawczyński ed ""Tego dnia 16 lat temu ukazała się Castlevania: Aria of Sorrow na Game Boy Advance! Mieliście okazję grać w tę odsłonę albo mieć GBA? 🤔 #GRAcznicahttps://t.co/MADCcVSnDx"""
1456,sadness," #59: @ゆりり@闇の騎士お熱！ ed ""ゴムの日なので、ゴム鉄砲？で遊ぶタナトスヒュプノスきょうだいを受信。得物を双剣から鉄砲に持ち替えるタナトスさんとか素敵だと思うんだ(*´∀｀*)←"""
1457,sadness," #60: @Tracy Drummond ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1458,sadness," #61: @Razan ed ""RT @AlMosahfEN: وَقَالُوا الْحَمْدُ لِلَّهِ الَّذِي أَذْهَبَ عَنَّا الْحَزَنَ ۖ إِنَّ رَبَّنَا لَغَفُورٌ شَكُورٌAnd they will say: ""Praise…"""
1459,sadness," #62: @Alexander Vagrant ed ""RT @MicroSFF: There is a bird in the forest, small and drab. She has no voice to sing with, so watches in silence.Those in pain seek her o…"""
1460,sadness," #63: @LadyOfGod-SisterGina 💜 ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1461,sadness," #64: @Figment Prompt Bot ed ""Quick - you only have six minutes. Write about sorrow. Whatever comes to mind. Ready, set, go!"""
1462,sadness," #65: @Lauren Grint ed ""... 싫어. 당신이 죽는다는 건... 정말 싫어."""
1463,sadness," #66: @Essa khan Raisani ed ""You have been my greatest LoveToday You are my greatest Sorrow#Zargi"""
1464,sadness," #67: @marilyn ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1465,sadness," #68: @邓雨铭 ed ""The person who can find sorrow behind your smile, words behind your silence and love behind your anger, is the one who can hold you forever. https://t.co/BoPgFiQz5Y"""
1466,sadness," #69: @kayy ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1467,sadness," #70: @Koh-i-Noor Bhatti ed ""Life is like a photograph,for every negative there is colorful print, in the same way, after sorrow there would be hour of joy! https://t.co/I2CdX3CP2W"""
1468,sadness," #71: @J V Newport 🙏🏻 ed ""RT @dismasop: One fun thing about the Older Rite is the different readings for certain days, and for Sunday this year that falls on Mother'…"""
1469,sadness," #72: @sorrow bringer 🍂 ed ""@LilXtraATL deathwish"""
1470,sadness," #73: @Rügenwalter Mühlenhorst ed """"...Their tears are filling up their glassesNo expression, no expressionHide my head, I want to drown my sorrowNo tomorrow, no tomorrow... #sadness #teddy #sad #melancholy… https://t.co/ncaoeyXiLm"""
1471,sadness," #74: @Arcane Students ed ""NAME: Phoenix Gallagher AREA OF ARCANE STUDY: Unnatural Grandmas THESIS SPELL: My First Entertaining Nostril Of Sorrow BOON: Ancient Lore Archivist FLAW: Does Silly Voices"""
1472,sadness," #75: @JuanJulio✍🏽😉 ed ""RT @Bible_Time: God always has a relief for every sorrow and a plan for every tomorrow."""
1473,sadness," #76: @Bezis ed ""@Sorrow_TV Trick it into making a very bad pun. Then it will say ""I'll see myself out"" and won't be a problem no more"""
1474,sadness," #77: @Yeseul Kim ed ""RT @ZealousKoki: The Ultimate Power of the Blood of Jesus Christ our Lord and Savior brought Joy to us ,no more pain and sorrow,  never cry…"""
1475,sadness," #78: @ケイト@下手の民→5/10川崎 ed ""@Dxx96yy このあとの時間の仕事が一番いやね😇ドライブしたいーヾ(:3ﾉｼヾ)ﾉｼ"""
1476,sadness," #79: @. ed ""This is the real reason for my sorrow. https://t.co/W9Yr3wEXpe"""
1477,sadness," #80: @field  mukupa ed ""God is love,whatever the circumstances ,or challenges, trails, persecutions,mockery ,shame ,rejection ,pain and sorrow .i declare in the name of Jesus Christ ,within 24 hours as the Lord lives you will become a global envy"""
1478,sadness," #81: @Damon ed ""@FrappMocha Aria of Sorrow satisfied my need for another Castlevania like Symphony. Circle Of The Moon is something special too. Amazing series."""
1479,sadness," #1: @LiveSquawk ed ""China: Regret That The US Has Increased Sanctions On Iran"""
1480,sadness," #2: @Raj Sharma ed ""The way our PM speaks,I dont regret being a #Bhakt of his for such a long duration.Desh ki chahat Modi ho na ho, desh ki zarurat Modi hi hai and we all are sure ki #ModiHiAayega#ModiOnIndiaTV"""
1481,sadness," #3: @2019 수능특강 단어봇 ed ""reluctant 주저하는, 꺼리는assess 가늠하다, 평가하다pictorial 사진의, 그림을 이용한regret 후회하다, 유감으로 생각하다, 후회compromise 타협하다, 위태롭게 하다, 타협"""
1482,sadness," #4: @  ed ""@ERCboxoffice Avatar was such a terrible movie. I didn’t see it in theatres and regret ever buying the overpriced blu ray when it came out. I don’t know how avatar ever got to no 1. I’m just waiting for the 2nd so it bombs hard and doesn’t even make $1bil."""
1483,sadness," #5: @princess lissy ed ""RT @lonestfeeIs: If you ever meet someone who tries their hardest to stick by you regardless of how difficult you are, keep them close or e…"""
1484,sadness," #6: @Erika ed ""RT @lonestfeeIs: If you ever meet someone who tries their hardest to stick by you regardless of how difficult you are, keep them close or e…"""
1485,sadness," #7: @HRH PU Zamir; S.P.M ed ""RT @LlmGatokami: @sfqomhz Different times with different facts. Never apologize or regret for what you were or what ideals you held, rather…"""
1486,sadness," #8: @Delpha~ ed ""Every time ginagawa ko yon, naiisip ko siya. And I always regret doing it."""
1487,sadness," #9: @ごまだれ ☁︎ ed ""@omoti_1003 なかなかパワーワードだと思う"""
1488,sadness," #10: @andrea ✪ ed ""the good old 3 am haircut...i gave myself bangs lowkey regret it but what’s new ?!?! https://t.co/7Z2fyFugom"""
1489,sadness," #11: @Dimpol~ng~Pandaᴬᴰᴺ ed ""RT @xanria_018: #ALDUBxADNDoGoodAlwaysNever regret. If its good, its wonderful. If it’s bad, its experience."""
1490,sadness," #12: @クロリグコピペbot ed ""虎尾さんが考案した心霊現象に効く呪文「だが野良猫がよく入り込む」【使用例】クレーヴェル｢勝手に閉まる扉、地下室なので風が吹くことはない｣虎尾「だが野良猫がよく入り込む」橡森｢この家には誰もいないはずである｣虎尾「だが野良猫がよく入り込む！！」"""
1491,sadness," #13: @Axis Bank Support ed ""@bsrana98 Hi, regret the inconvenience caused. We request you to visit the following link to raise a dispute for the referred transaction: https://t.co/TvpciZ5ugJ. Regards, Team Axis Bank"""
1492,sadness," #14: @Karan Kapoor ed ""RT @TVMohandasPai: Very shameful speech;instead of expressing regret at mass lynching of Sikhs, he is justifying the heinous act! And the D…"""
1493,sadness," #15: @RiA ed "".. To our account saying that we regret that due to the change in law we need to revamp the package. U could have given us the option with the break and then we would decideHow can u keep our annual fee  with u and then change laws this is like cheating us.. @TataSky"""
1494,sadness," #16: @ごまだれ ☁︎ ed ""@omoti_1003 金銭的なあれはわかる"""
1495,sadness," #17: @Duh🙄 ed ""RT @lkishac: please do not make any decision when you're angry, you may probably regret it when time come"""
